Accession evaluated for MATGROUP
,
accession_id,accession_prefix,accession_number,accession_suffix,observation_value,coded_name,method_name,plant_name,taxon,origin,source_type_code,latitude,longitude,data_quality_code,original_value,frequency,low,high,mean,sdev,ssize,inventory_prefix,inventory_number,inventory_suffix,note,,
"1086312","FC","21340","","0","MATGROUP","SOYBEAN.EVALUATION.1MN63","","Glycine max","Unknown","COLLECTED","","","","","","","","","","","FC","21340","","",
"1100483","FC","30683","","0","MATGROUP","SOYBEAN.EVALUATION.1MN63","","Glycine max","Canada","DEVELOPED","","","","","","","","","","","FC","30683","","",
"1100488","FC","30684","","0","MATGROUP","SOYBEAN.EVALUATION.1MN63","","Glycine max","China","COLLECTED","45.75000000","126.65000150","","","","","","","","","FC","30684","","",
"1100520","FC","30692","","0","MATGROUP","SOYBEAN.EVALUATION.1MN63","","Glycine max","China","COLLECTED","45.75000000","126.65000150","","","","","","","","","FC","30692","","",
"1102724","FC","32033","","0","MATGROUP","SOYBEAN.EVALUATION.1MN63","Brown Derby No. 1","Glycine max","Unknown","COLLECTED","","","","","","","","","","","FC","32033","","",
"1102859","FC","32141","","0","MATGROUP","SOYBEAN.EVALUATION.1MN63","Early Sunrise","Glycine max","United States","DEVELOPED","","","","","","","","","","","FC","32141","","",
"1114401","PI","68722","","0","MATGROUP","SOYBEAN.EVALUATION.1MN63","103","Glycine max","China","COLLECTED","46.64299030","125.42589610","","","","","","","","","PI","68722","","",
"1118270","PI","79739","","0","MATGROUP","SOYBEAN.EVALUATION.1MN63","N5A","Glycine max","China","COLLECTED","46.64299030","125.42589610","","","","","","","","","PI","79739","","",
"1123797","PI","89001","","0","MATGROUP","SOYBEAN.EVALUATION.1MN63","5946","Glycine max","China","COLLECTED","46.19504210","126.06794790","","","","","","","","","PI","89001","","",
"1134059","PI","132204","","0","MATGROUP","SOYBEAN.EVALUATION.1MN63","No. D. 5","Glycine max","Netherlands","COLLECTED","","","","","","","","","","","PI","132204","","",
"1134060","PI","132205","","0","MATGROUP","SOYBEAN.EVALUATION.1MN63","No. D. 6","Glycine max","Netherlands","COLLECTED","","","","","","","","","","","PI","132205","","",
"1134062","PI","132207","","0","MATGROUP","SOYBEAN.EVALUATION.1MN63","No. D. 14","Glycine max","Netherlands","COLLECTED","","","","","","","","","","","PI","132207","","",
"1136378","PI","152361","","0","MATGROUP","SOYBEAN.EVALUATION.1MN63","Hybrid No. 398-97","Glycine max","Russian Federation","COLLECTED","","","","","","","","","","","PI","152361","","",
"1136622","PI","153209","","0","MATGROUP","SOYBEAN.EVALUATION.1MN63","Grignon 32","Glycine max","France","COLLECTED","","","","","","","","","","","PI","153209","","",
"1136626","PI","153213","","0","MATGROUP","SOYBEAN.EVALUATION.1MN63","B-16","Glycine max","Belgium","COLLECTED","","","","","","","","","","","PI","153213","","",
"1136644","PI","153233","","0","MATGROUP","SOYBEAN.EVALUATION.1MN63","Ras 89","Glycine max","Netherlands","COLLECTED","","","","","","","","","","","PI","153233","","",
"1136646","PI","153235","","0","MATGROUP","SOYBEAN.EVALUATION.1MN63","Grignon 1","Glycine max","France","COLLECTED","","","","","","","","","","","PI","153235","","",
"1136648","PI","153237","","0","MATGROUP","SOYBEAN.EVALUATION.1MN63","Grignon 23","Glycine max","France","COLLECTED","","","","","","","","","","","PI","153237","","",
"1136650","PI","153239","","0","MATGROUP","SOYBEAN.EVALUATION.1MN63","Desme 1","Glycine max","Belgium","COLLECTED","","","","","","","","","","","PI","153239","","",
"1136651","PI","153240","","0","MATGROUP","SOYBEAN.EVALUATION.1MN63","Rouest 250","Glycine max","France","COLLECTED","","","","","","","","","","","PI","153240","","",
"1136652","PI","153241","","0","MATGROUP","SOYBEAN.EVALUATION.1MN63","Rouest yellow","Glycine max","France","COLLECTED","","","","","","","","","","","PI","153241","","",
"1136653","PI","153242","","0","MATGROUP","SOYBEAN.EVALUATION.1MN63","Wiensoy","Glycine max","Belgium","COLLECTED","","","","","","","","","","","PI","153242","","",
"1136656","PI","153245","","0","MATGROUP","SOYBEAN.EVALUATION.1MN63","Dieckmann Green-Yellow","Glycine max","Germany","COLLECTED","","","","","","","","","","","PI","153245","","",
